,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,nextAudacc,nextbank,nextfinan
58,2024,A local cpa firm,Banking,,HK,Accountant ,HK,Accountant,Musician,TW,,,,,,,,True,False,False
59,June 2023,bank\, CPA firm,audit/ compliance,N/A,HK,audit/ compliance,HK/ overseas,internal audit,internal audit,overseas,,,,,,,False,False,False
60,Spring 2023,,Banking,,Hong Kong,An income earning one,Not in Hong Kong,One where I can travel,One that can allow me to have a balance between work and fun,A place where I like the people and the people like me,,,,,,,,False,False,False
61,By 2024 ,Accounting firms ,The banking industry ,Hong Kong ,Hong Kong ,Accountant ,Hong Kong ,Accountant,Accountant or entrepreneur,Hong Kong,,,,,,,,True,False,False
62,2024,Rsm,Audit,,Pwc,Audit,Pwc,Merge and acquisition ,Merge and acquisition ,Banks,,,,,,,,False,False,False
63,2024,second tier company ,big four ,i will work ,Hong Kong,banking ,Hong Kong,audit ,audit ,Hong Kong,,,,,,,,True,False,False
64,2025,EY Audit\, ISF Quant Analyst,Don't know now,Business analysis or Accounting,Hong Kong ,Business Analyst,Hong Kong,Business Analyst,Business Analyst,Hong Kong,,,,,,,False,False,False
65,2024,big4\, asset management company,asset management or banks,,Hong Kong,back office in banks,Hong Kong,Manager in back office of banks,,,,,,,,,False,False,False
66,2024 Spring,Crowe(HK),Investment banking ,,Hong Kong ,Investment banking ,Hong Kong ,Investment banking or accounting ,Investment banking or accounting ,Hong Kong,,,,,,,,True,True,False
67,HONG KONG ,Pwc\, Deloitte\, Ogilvy\, Noah,Consulting or advisory ,NA ,HSBC ,Banking ,Not sure,Not sure ,Not sure,Not sure,,,,,False,False,False
68,2024,CMBC,big 4,,big 4,big 4,big 4,accountant,accountant,big 4,,,,,,,,True,False,False
69,2024,ngos,big 4 maybe,ust,Accounting firm,audit,hong kong,not sure\, probably Accounting,not sure\, want to try out some more jobs to find one for my favorite,not sure,,,,,,False,False,False
70,2024 Fall,Big4,I guess I wanna try product management ,Product Management,Canada or the United States,Product management in cosmetic company,Canada,Product management,Product Management ,The United States,,,,,,,,False,False,False
71,Next year,,Accounting firms,/,Accounting firms,Accounting firms,Accounting industry,Accounting industry,Accounting industry,Accounting industry,,,,,,,,True,False,False
72,May 2024,Bank,,Either further studies on business administration\, or social studies,Hong Kong,Investment Banking-related positions\, in the middle or back office,Hong Kong,Non-front office jobs\, like transactions/audit,Positions in venture capital,USA or Canada,,,,,False,False,False
73,2024 Summer,Accounting,Big 4,Business Analytics,Hong Kong,Audit,UK/US,Consulting,Consulting,HK/Mainland China,,,,,,,,False,False,False
74,2024,,,,Singapore,Marketing related,Singapore or Hong Kong,Marketing or accounting related,Marketing related,In my home country\, Indonesia,,,,,,,True,False,False
75,2024 june,ByteDance(TikTok),Tencent,MBA,Hong Kong,Financial relatives,China or US,Financial relatives,Financial relatives,China or US,,,,,,,,False,False,True
76,2024 JUN,KPMG\, AIA,Big 4,Finance,Big 4,Audit,Banks,Banker,Banker,Banks,,,,,,,False,True,False
